device_id,device_name,status,timestamp
1,ROG,1,31-07-2023 12:12
2,Narzo50,0,31-07-2023 12:12
3,6A,1,31-07-2023 12:12
4,Tab A7,1,31-07-2023 12:12
5,N55,1,31-07-2023 12:12
6,Amazon,1,31-07-2023 12:12
7,Google,1,31-07-2023 12:12
1,ROG,1,31-07-2023 12:17
2,Narzo50,0,31-07-2023 12:17
3,6A,1,31-07-2023 12:17
4,Tab A7,1,31-07-2023 12:17
5,N55,0,31-07-2023 12:17
6,Amazon,1,31-07-2023 12:17
7,Google,1,31-07-2023 12:17
1,ROG,1,31-07-2023 22:10
2,Narzo50,0,31-07-2023 22:10
3,6A,1,31-07-2023 22:10
4,Tab A7,1,31-07-2023 22:10
5,N55,1,31-07-2023 22:10
1,ROG,1,01-08-2023 09:33
2,Narzo50,1,01-08-2023 09:33
3,6A,1,01-08-2023 09:33
4,Tab A7,0,01-08-2023 09:33
5,N55,1,01-08-2023 09:33
